# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 28 23:32:45 2018
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_bmassj is null
# CONSTRAINT:  and pl_k2flag = 1
# CONSTRAINT:  and dec > -15
# CONSTRAINT:  and st_teff <= 4000
# CONSTRAINT:  and st_j < 12
# CONSTRAINT:  )
# CONSTRAINT:  order by st_j desc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN st_actr:        Stellar Activity log(R'HK)
# COLUMN st_actrerr:     Stellar Activity log(R'HK) Unc.
# COLUMN st_actrlim:     Stellar Activity log(R'HK) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,st_actr,st_actrerr,st_actrlim,st_j,st_jerr,st_jlim
835,K2-155,c,Transit,3,13.85402000,0.00088000,-0.00088000,0,0.092000,0.003200,-0.003200,0,,,,0,,,,0,,,,0,0.174,0.024,-0.020,0,,,,0,0,1,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
836,K2-155,d,Transit,3,40.68350000,0.00310000,-0.00310000,0,0.188600,0.006600,-0.006600,0,,,,0,,,,0,,,,0,0.146,0.016,-0.015,0,,,,0,0,1,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
944,K2-25,b,Transit,1,3.48455200,0.00003100,-0.00003700,0,,,,0,0.270000,0.160000,-0.210000,0,88.300,1.200,-0.700,0,,,,0,0.306,0.085,-0.028,0,,,,0,0,1,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,,,,,3180.00,60.00,-60.00,0,0.29,0.02,-0.02,0,0.29,0.02,-0.02,0,2017-09-28,,,,11.303,0.021,0
945,K2-26,b,Transit,1,14.56650000,0.00160000,-0.00200000,0,0.096200,0.005400,-0.006100,0,,,,,88.400,1.200,-1.500,0,,,,,0.238,0.041,-0.037,0,,,,,0,1,06h16m49.58s,94.206581,+24d35m47.1s,24.596411,,,,,3785.00,185.00,-185.00,0,0.56,0.10,-0.10,0,0.52,0.08,-0.08,0,2016-01-21,,,,11.350,0.024,0
947,K2-28,b,Transit,1,2.26045500,0.00004100,-0.00004100,0,0.021400,0.001300,-0.001300,0,0.000000,,,0,88.900,0.800,-1.200,0,,,,,0.207,0.021,-0.021,0,,,,,0,1,22h22m29.85s,335.624390,-07d57m19.3s,-7.955366,,,,,3214.00,60.00,-60.00,0,0.26,0.05,-0.05,0,0.29,0.03,-0.03,0,2016-02-25,,,,11.695,0.030,0
949,K2-3,b,Transit,3,10.05449000,0.00026000,-0.00026000,0,0.076900,0.003900,-0.003900,0,,,,,88.800,0.840,-1.120,0,,,,,0.194,0.027,-0.027,0,,,,,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
950,K2-3,c,Transit,3,24.64354000,0.00117000,-0.00117000,0,0.139900,0.007000,-0.007000,0,,,,,89.120,0.620,-0.860,0,,,,,0.165,0.024,-0.024,0,,,,,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
951,K2-3,d,Transit,3,44.55983000,0.00590000,-0.00590000,0,0.207600,0.010400,-0.010400,0,,,,,89.380,0.430,-0.640,0,,,,,0.135,0.021,-0.021,0,,,,,0,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,,,,9.421,0.027,0
1005,K2-72,b,Transit,4,5.57721200,0.00041700,-0.00041900,0,0.040000,0.004000,-0.005000,0,0.110000,0.196982,-0.087659,0,89.150,0.590,-0.860,0,,,,0,0.096,0.010,-0.010,0,,,,0,0,1,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1006,K2-72,c,Transit,4,15.18903400,0.00312800,-0.00314900,0,0.078000,0.007000,-0.010000,0,0.110000,0.201970,-0.091536,0,89.540,0.320,-0.440,0,,,,0,0.103,0.012,-0.012,0,,,,0,0,1,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1007,K2-72,d,Transit,4,7.76017800,0.00149600,-0.00149600,0,0.050000,0.004000,-0.006000,0,0.110000,0.207832,-0.092330,0,89.260,0.500,-0.690,0,,,,0,0.090,0.011,-0.011,0,,,,0,0,1,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1008,K2-72,e,Transit,4,24.15886800,0.00372600,-0.00385000,0,0.106000,0.009000,-0.013000,0,0.110000,0.198676,-0.086832,0,89.680,0.220,-0.320,0,,,,0,0.115,0.012,-0.012,0,,,,0,0,1,22h18m29.27s,334.621979,-09d36m44.6s,-9.612382,,,,,3360.47,87.24,-86.34,0,0.27,0.08,-0.09,0,0.33,0.03,-0.03,0,2017-10-26,,,,11.685,0.023,0
1021,K2-83,b,Transit,2,2.74697000,0.00018000,-0.00018000,0,0.030140,0.000410,-0.000410,0,,,,,,,,,,,,,0.111,0.009,-0.009,0,,,,,0,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,,,,3910.00,49.00,-49.00,0,0.48,0.02,-0.02,0,0.42,0.02,-0.02,0,2016-07-18,,,,11.599,0.021,0
1022,K2-83,c,Transit,2,9.99767000,0.00081000,-0.00081000,0,0.071310,0.000960,-0.000960,0,,,,,,,,,,,,,0.132,0.009,-0.009,0,,,,,0,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,,,,3910.00,49.00,-49.00,0,0.48,0.02,-0.02,0,0.42,0.02,-0.02,0,2016-07-18,,,,11.599,0.021,0
1029,K2-89,b,Transit,1,1.09602600,0.00006500,-0.00006500,0,0.014620,0.000510,-0.000510,0,,,,,,,,,,,,,0.055,0.007,-0.007,0,,,,,0,1,03h48m16.01s,57.066715,+20d27m34.7s,20.459639,,,,,3691.00,51.00,-51.00,0,0.35,0.04,-0.04,0,0.32,0.03,-0.03,0,2016-07-18,,,,10.933,0.020,0
1033,K2-91,b,Transit,1,1.41954900,0.00007100,-0.00007100,0,0.016400,0.001100,-0.001100,0,,,,,,,,,,,,,0.098,0.016,-0.016,0,,,,,0,1,04h12m52.34s,63.218063,+24d12m18.4s,24.205112,,,,,3622.00,104.00,-104.00,0,0.29,0.06,-0.06,0,0.28,0.04,-0.04,0,2016-07-18,,,,11.433,0.021,0
