# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar  5 08:26:44 2018
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_k2flag = 1
# CONSTRAINT:  and dec > -15
# CONSTRAINT:  and st_teff < 5000
# CONSTRAINT:  and st_j < 12
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN st_actr:        Stellar Activity log(R'HK)
# COLUMN st_actrerr:     Stellar Activity log(R'HK) Unc.
# COLUMN st_actrlim:     Stellar Activity log(R'HK) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,st_actr,st_actrerr,st_actrlim,st_j,st_jerr,st_jlim
834,K2-155,b,Transit,3,6.34365000,0.00028000,-0.00028000,0,0.054600,0.001900,-0.001900,0,,,,0,,,,0,,,,0,0.138,0.018,-0.015,0,,,,0,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
835,K2-155,c,Transit,3,13.85402000,0.00088000,-0.00088000,0,0.092000,0.003200,-0.003200,0,,,,0,,,,0,,,,0,0.174,0.024,-0.020,0,,,,0,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
836,K2-155,d,Transit,3,40.68350000,0.00310000,-0.00310000,0,0.188600,0.006600,-0.006600,0,,,,0,,,,0,,,,0,0.146,0.016,-0.015,0,,,,0,0,0,1,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,62.30,9.30,-9.30,0,3919.00,70.00,-70.00,0,0.54,0.06,-0.06,0,0.53,0.05,-0.05,0,2018-02-01,,,,10.274,0.024,0
901,K2-199,b,Transit,2,3.22542300,0.00006700,-0.00007100,0,,,,,,,,,87.182,2.085,-4.184,0,,,,,0.168,0.017,-0.008,0,,,,,0,0,1,0,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,,,,,4681.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.67,0.02,-0.02,0,2018-02-15,,,,10.277,0.023,0
902,K2-199,c,Transit,2,7.37449700,0.00011800,-0.00012500,0,,,,,,,,,88.893,0.787,-1.251,0,,,,,0.253,0.015,-0.010,0,,,,,0,0,1,0,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,,,,,4681.00,50.00,-50.00,0,0.71,0.02,-0.02,0,0.67,0.02,-0.02,0,2018-02-15,,,,10.277,0.023,0
994,K2-62,b,Transit,2,6.67202000,0.00028000,-0.00028000,0,0.063600,0.001400,-0.001400,0,,,,,,,,,,,,,0.191,0.019,-0.019,0,,,,,0,0,1,0,22h17m27.40s,334.364166,-12d11m15.0s,-12.187498,,,,,4880.00,216.00,-216.00,0,0.77,0.05,-0.05,0,0.73,0.05,-0.05,0,2016-07-18,,,,10.374,0.023,0
995,K2-62,c,Transit,2,16.19660000,0.00120000,-0.00120000,0,0.114800,0.002500,-0.002500,0,,,,,,,,,,,,,0.191,0.020,-0.020,0,,,,,0,0,1,0,22h17m27.40s,334.364166,-12d11m15.0s,-12.187498,,,,,4880.00,216.00,-216.00,0,0.77,0.05,-0.05,0,0.73,0.05,-0.05,0,2016-07-18,,,,10.374,0.023,0
1013,K2-77,b,Transit,1,8.19979600,0.00068300,-0.00071900,0,,,,,0.140000,0.220000,-0.090000,0,88.700,0.800,-0.800,0,1.90000,,,1,0.205,0.014,-0.014,0,,,,,0,0,1,0,03h40m54.82s,55.228428,+12d34m21.4s,12.572612,,,,,4970.00,45.00,-45.00,0,0.80,0.12,-0.12,0,0.76,0.03,-0.03,0,2016-09-29,,,,10.384,0.020,0
922,K2-216,b,Transit,1,2.17478900,0.00003900,-0.00003800,0,,,,,,,,,87.007,2.090,-3.538,0,,,,,0.150,0.009,-0.007,0,,,,,0,0,1,0,00h45m55.26s,11.480249,+06d20m49.1s,6.346971,,,,,4591.00,50.00,-50.00,0,0.70,0.02,-0.02,0,0.67,0.02,-0.02,0,2018-02-15,,,,10.394,0.022,0
798,K2-128,b,Transit,1,5.67581900,0.00041100,-0.00041400,0,0.056000,0.002000,-0.002000,0,0.230000,0.220222,-0.193710,0,87.400,1.080,-0.660,0,,,,0,0.127,0.014,-0.012,0,,,,0,0,0,1,0,13h37m45.04s,204.437653,-08d35m49.4s,-8.597065,,,,,4469.51,171.97,-145.15,0,0.71,0.07,-0.07,0,0.78,0.08,-0.06,0,2017-10-05,,,,10.491,0.024,0
796,K2-126,b,Transit,1,7.38707300,0.00025400,-0.00025300,0,0.066000,0.002000,-0.002000,0,0.060000,0.142277,-0.049906,0,89.400,0.410,-0.490,0,,,,0,0.164,0.010,-0.009,0,,,,0,0,0,1,0,13h34m11.17s,203.546539,-13d34m36.9s,-13.576928,,,,,4367.83,128.30,-114.57,0,0.70,0.07,-0.07,0,0.62,0.04,-0.03,0,2017-10-05,,,,10.508,0.023,0
845,K2-162,b,Transit,1,9.45774700,0.00140100,-0.00139200,0,,,,,,,,,88.761,0.872,-1.755,0,,,,,0.133,0.015,-0.011,0,,,,,0,0,1,0,12h24m09.28s,186.038666,-01d06m40.9s,-1.111351,,,,,4885.00,50.00,-50.00,0,0.78,0.02,-0.03,0,0.73,0.02,-0.02,0,2018-02-15,,,,10.517,0.030,0
918,K2-212,b,Transit,1,9.79540000,0.00029100,-0.00029300,0,,,,,,,,,89.191,0.584,-1.190,0,,,,,0.213,0.013,-0.008,0,,,,,0,0,1,0,01h13m41.62s,18.423407,+03d05m49.0s,3.096936,,,,,4349.00,50.00,-50.00,0,0.62,0.02,-0.02,0,0.60,0.02,-0.01,0,2018-02-15,,,,10.629,0.022,0
1035,K2-97,b,Transit,1,8.40610000,0.00150000,-0.00150000,0,,,,,,,,,,,,,1.10000,0.11000,-0.11000,0,1.310,0.110,-0.110,0,0.02000,0.00100,-0.00100,0,0,0,1,0,08h31m03.08s,127.762833,+10d50m51.3s,10.847586,,,,,4790.00,90.00,-90.00,0,1.16,0.12,-0.12,0,4.20,0.14,-0.14,0,2016-09-29,,,,10.694,0.023,0
844,K2-161,b,Transit,1,9.28318800,0.00205200,-0.00230000,0,,,,,,,,,87.251,1.991,-5.633,0,,,,,0.546,0.146,-0.070,0,,,,,0,0,1,0,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,,,,,4972.00,50.00,-50.00,0,0.99,0.08,-0.06,0,2.57,0.31,-0.25,0,2018-02-15,,,,10.852,0.026,0
829,K2-151,b,Transit,1,3.83559200,0.00002300,-0.00002300,0,0.036500,0.001400,-0.001400,0,,,,0,,,,0,,,,0,0.120,0.014,-0.012,0,,,,0,0,0,1,0,01h17m13.09s,19.304525,+09d30m05.0s,9.501381,62.70,8.80,-8.80,0,3585.00,70.00,-70.00,0,0.44,0.05,-0.05,0,0.43,0.04,-0.04,0,2018-02-01,,,,10.930,0.027,0
1029,K2-89,b,Transit,1,1.09602600,0.00006500,-0.00006500,0,0.014620,0.000510,-0.000510,0,,,,,,,,,,,,,0.055,0.007,-0.007,0,,,,,0,0,1,0,03h48m16.01s,57.066715,+20d27m34.7s,20.459639,,,,,3691.00,51.00,-51.00,0,0.35,0.04,-0.04,0,0.32,0.03,-0.03,0,2016-07-18,,,,10.933,0.020,0
830,K2-152,b,Transit,1,32.65270000,0.00350000,-0.00350000,0,0.173500,0.005400,-0.005400,0,,,,0,,,,0,,,,0,0.251,0.030,-0.027,0,,,,0,0,0,1,0,12h06m31.87s,181.632797,-05d49m38.7s,-5.827410,112.00,18.00,-18.00,0,3940.00,70.00,-70.00,0,0.65,0.06,-0.06,0,0.63,0.06,-0.06,0,2018-02-01,,,,10.956,0.026,0
938,K2-228,b,Transit,1,2.69836800,0.00012800,-0.00013600,0,,,,,,,,,87.465,1.768,-3.427,0,,,,,0.124,0.009,-0.008,0,,,,,0,0,1,0,12h29m10.75s,187.294785,-06d50m03.3s,-6.834258,,,,,4764.00,50.00,-50.00,0,0.74,0.03,-0.02,0,0.70,0.02,-0.02,0,2018-02-15,,,,10.978,0.026,0
