#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-10-19T17:33:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59e8e0631011	
#INFO	-out.max=99999	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/A+A/605/L11/tableb4
#-nav=cat:J/A+A/605/L11&tab:{J/A+A/605/L11/tableb4}&key:source=J/A+A/605/L11&HTTPPRM:&&-ref=VIZ59e8e0631011&-out.max=99999&-out.form=ascii table&-oc.form=dec&-order=I&-out=BJD&-out=RV&-out=sigma&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/605/L11/tableb4
#-source=J/A+A/605/L11/tableb4
#-order=I
#-out=BJD
#-out=RV
#-out=sigma
#

#RESOURCE=yCat_36059011
#Name: J/A+A/605/L11
#Title: YZ Ceti radial velocity curve (Astudillo-Defru+, 2017)
#Table	J_A_A_605_L11_tableb4:
#Name: J/A+A/605/L11/tableb4
#Title: Radial velocities time series for YZ Cet
#Column	BJD	(F12.6)	Barycentric Julian date (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F8.5)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	sigma	(F8.5)	Radial velocity dispersion	[ucd=spect.dopplerVeloc]
BJD;RV;sigma
56629.641333;28.30245; 0.00298
56631.598498;28.30414; 0.00181
56677.551738;28.30570; 0.00213
56817.893061;28.30175; 0.00265
56825.911179;28.29713; 0.00212
56826.910642;28.30148; 0.00171
56827.904178;28.30324; 0.00186
56828.931225;28.30151; 0.00220
56838.904537;28.29839; 0.00198
56841.909148;28.30467; 0.00193
56858.915168;28.30076; 0.00174
56862.906120;28.29892; 0.00211
56863.903136;28.30500; 0.00201
56864.907676;28.30250; 0.00210
56871.850097;28.29918; 0.00274
56872.852200;28.29700; 0.00265
56873.896782;28.30489; 0.00277
56915.826414;28.30067; 0.00260
56916.807782;28.30657; 0.00217
56919.819262;28.30315; 0.00222
56920.735923;28.29993; 0.00274
56921.729992;28.29746; 0.00223
56922.734071;28.29765; 0.00241
56924.759493;28.30107; 0.00200
56925.710245;28.30698; 0.00175
56926.745418;28.29782; 0.00470
56932.747472;28.30199; 0.00176
56936.718780;28.30227; 0.00269
56943.804785;28.30387; 0.00179
56944.843505;28.30473; 0.00301
56948.829911;28.30294; 0.00196
56951.658213;28.29682; 0.00189
56989.568366;28.30490; 0.00156
56992.582886;28.30180; 0.00178
56994.589842;28.29820; 0.00205
56996.694252;28.30365; 0.00195
56997.564689;28.29919; 0.00139
56998.545162;28.30097; 0.00171
56999.577227;28.29976; 0.00213
57000.558000;28.29950; 0.00187
57002.674356;28.29640; 0.00226
57003.579104;28.29765; 0.00169
57020.545754;28.29687; 0.00148
57021.559039;28.30012; 0.00217
57044.536876;28.29360; 0.00170
57050.531923;28.30080; 0.00197
57198.933903;28.29982; 0.00282
57199.903712;28.29605; 0.00166
57200.923317;28.30441; 0.00224
57202.931345;28.29269; 0.00261
57203.902671;28.29989; 0.00235
57204.887227;28.30572; 0.00232
57249.871481;28.30456; 0.00192
57251.878221;28.30151; 0.00380
57253.897075;28.30361; 0.00177
57255.829612;28.30798; 0.00262
57256.797030;28.30074; 0.00296
57257.831674;28.29760; 0.00126
57258.798094;28.28243; 0.00196
57260.826227;28.29818; 0.00286
57263.792608;28.30257; 0.00218
57264.805101;28.30194; 0.00144
57268.836838;28.30334; 0.00186
57269.798002;28.30612; 0.00145
57270.821609;28.30395; 0.00169
57273.807177;28.30339; 0.00252
57277.782844;28.30202; 0.00220
57278.790803;28.29951; 0.00206
57291.740828;28.30421; 0.00208
57292.787146;28.30598; 0.00165
57295.824073;28.30570; 0.00153
57306.744239;28.30180; 0.00188
57307.740764;28.30093; 0.00173
57308.735713;28.29857; 0.00268
57311.811788;28.30231; 0.00167
57312.673702;28.29948; 0.00174
57318.695180;28.30256; 0.00174
57319.767263;28.29867; 0.00291
57324.677126;28.30089; 0.00179
57325.667178;28.30213; 0.00139
57328.686963;28.30086; 0.00291
57364.679134;28.29798; 0.00176
57366.665989;28.29941; 0.00186
57370.663405;28.29860; 0.00153
57371.598600;28.29898; 0.00178
57372.627860;28.29982; 0.00203
57389.575768;28.30056; 0.00169
57401.596476;28.30043; 0.00287
57406.584200;28.30490; 0.00282
57410.575379;28.29821; 0.00191
57412.550071;28.30356; 0.00290
57415.550838;28.29800; 0.00183
57416.553545;28.29510; 0.00206
57417.556461;28.29657; 0.00179
57418.545987;28.29754; 0.00182
57421.538702;28.29756; 0.00189
57422.534770;28.29554; 0.00264
57423.525401;28.29730; 0.00285
57424.522964;28.30276; 0.00215
57425.524984;28.30334; 0.00284
57569.881512;28.29691; 0.00344
57576.847163;28.30183; 0.00173
57577.878123;28.29647; 0.00294
57583.935941;28.29974; 0.00186
57584.916085;28.29617; 0.00174
57586.899557;28.30375; 0.00157
57606.952332;28.28795; 0.00278
57607.828219;28.29669; 0.00236
57608.800246;28.30251; 0.00224
57612.853923;28.29823; 0.00150
57612.927770;28.29894; 0.00152
57613.823572;28.30298; 0.00160
57613.910638;28.30210; 0.00168
57614.796230;28.30608; 0.00147
57614.889662;28.30295; 0.00215
57615.835975;28.30023; 0.00142
57615.922138;28.29978; 0.00143
57623.916457;28.29832; 0.00168
57625.912123;28.30022; 0.00140
57626.893727;28.29914; 0.00271
57631.897784;28.30564; 0.00152
57632.778437;28.30047; 0.00202
57642.814309;28.29817; 0.00209
57643.785693;28.30041; 0.00170
57644.770965;28.29864; 0.00208
57647.874553;28.30535; 0.00159
57651.818467;28.30087; 0.00173
57652.709906;28.29876; 0.00204
57654.696336;28.29553; 0.00236
57655.640630;28.30060; 0.00153
57655.813341;28.30233; 0.00144
57656.616046;28.30251; 0.00163
57656.778803;28.30031; 0.00124
57657.632781;28.30229; 0.00150
57657.808384;28.30273; 0.00148
57658.627002;28.29973; 0.00165
57658.800510;28.29661; 0.00131
57659.602205;28.30145; 0.00185
57659.796350;28.30530; 0.00193
57660.690602;28.30507; 0.00232
57660.868566;28.30290; 0.00234
57661.631485;28.30221; 0.00164
57661.855548;28.30204; 0.00196
57662.683292;28.30227; 0.00241
57662.864705;28.30195; 0.00241

